areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,25/11/2021,39918,10108514
overview,United Kingdom,K02000001,24/11/2021,45313,10068596
overview,United Kingdom,K02000001,23/11/2021,47059,10023283
overview,United Kingdom,K02000001,22/11/2021,49637,9976224
overview,United Kingdom,K02000001,21/11/2021,36433,9926587
overview,United Kingdom,K02000001,20/11/2021,34626,9890154
overview,United Kingdom,K02000001,19/11/2021,38870,9855528
overview,United Kingdom,K02000001,18/11/2021,43199,9816658
overview,United Kingdom,K02000001,17/11/2021,44993,9773459
overview,United Kingdom,K02000001,16/11/2021,45375,9728466
overview,United Kingdom,K02000001,15/11/2021,49969,9683091
overview,United Kingdom,K02000001,14/11/2021,34790,9633122
overview,United Kingdom,K02000001,13/11/2021,32319,9598332
overview,United Kingdom,K02000001,12/11/2021,36988,9566013
overview,United Kingdom,K02000001,11/11/2021,40233,9529025
overview,United Kingdom,K02000001,10/11/2021,42084,9488792
overview,United Kingdom,K02000001,09/11/2021,41441,9446708
overview,United Kingdom,K02000001,08/11/2021,43291,9405267
overview,United Kingdom,K02000001,07/11/2021,29981,9361976
overview,United Kingdom,K02000001,06/11/2021,26929,9331995
overview,United Kingdom,K02000001,05/11/2021,29721,9305066
overview,United Kingdom,K02000001,04/11/2021,32337,9275345
overview,United Kingdom,K02000001,03/11/2021,35019,9243008
overview,United Kingdom,K02000001,02/11/2021,37119,9207989
overview,United Kingdom,K02000001,01/11/2021,44182,9170870
overview,United Kingdom,K02000001,31/10/2021,34126,9126688
overview,United Kingdom,K02000001,30/10/2021,33018,9092562
overview,United Kingdom,K02000001,29/10/2021,39538,9059544
overview,United Kingdom,K02000001,28/10/2021,40649,9020006
overview,United Kingdom,K02000001,27/10/2021,42278,8979357
overview,United Kingdom,K02000001,26/10/2021,41413,8937079
overview,United Kingdom,K02000001,25/10/2021,46639,8895666
overview,United Kingdom,K02000001,24/10/2021,35148,8849027
overview,United Kingdom,K02000001,23/10/2021,34540,8813879
overview,United Kingdom,K02000001,22/10/2021,39977,8779339
overview,United Kingdom,K02000001,21/10/2021,44433,8739362
overview,United Kingdom,K02000001,20/10/2021,50833,8694929
overview,United Kingdom,K02000001,19/10/2021,51583,8644096
overview,United Kingdom,K02000001,18/10/2021,56708,8592513
overview,United Kingdom,K02000001,17/10/2021,42984,8535805
overview,United Kingdom,K02000001,16/10/2021,37285,8492821
overview,United Kingdom,K02000001,15/10/2021,42870,8455536
overview,United Kingdom,K02000001,14/10/2021,45635,8412666
overview,United Kingdom,K02000001,13/10/2021,46988,8367031
overview,United Kingdom,K02000001,12/10/2021,47509,8320043
overview,United Kingdom,K02000001,11/10/2021,49462,8272534
overview,United Kingdom,K02000001,10/10/2021,35831,8223072
overview,United Kingdom,K02000001,09/10/2021,31725,8187241
overview,United Kingdom,K02000001,08/10/2021,35012,8155516
overview,United Kingdom,K02000001,07/10/2021,37884,8120504
overview,United Kingdom,K02000001,06/10/2021,38618,8082620
overview,United Kingdom,K02000001,05/10/2021,38619,8044002
overview,United Kingdom,K02000001,04/10/2021,43077,8005383
overview,United Kingdom,K02000001,03/10/2021,31510,7962306
overview,United Kingdom,K02000001,02/10/2021,25902,7930796
overview,United Kingdom,K02000001,01/10/2021,28642,7904894
overview,United Kingdom,K02000001,30/09/2021,32014,7876252
overview,United Kingdom,K02000001,29/09/2021,34301,7844238
overview,United Kingdom,K02000001,28/09/2021,35935,7809937
overview,United Kingdom,K02000001,27/09/2021,40922,7774002
overview,United Kingdom,K02000001,26/09/2021,31524,7733080
