areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,24/02/2022,16,161223
overview,United Kingdom,K02000001,23/02/2022,42,161207
overview,United Kingdom,K02000001,22/02/2022,75,161165
overview,United Kingdom,K02000001,21/02/2022,77,161090
overview,United Kingdom,K02000001,20/02/2022,116,161013
overview,United Kingdom,K02000001,19/02/2022,104,160897
overview,United Kingdom,K02000001,18/02/2022,102,160793
overview,United Kingdom,K02000001,17/02/2022,121,160691
overview,United Kingdom,K02000001,16/02/2022,130,160570
overview,United Kingdom,K02000001,15/02/2022,145,160440
overview,United Kingdom,K02000001,14/02/2022,149,160295
overview,United Kingdom,K02000001,13/02/2022,138,160146
overview,United Kingdom,K02000001,12/02/2022,141,160008
overview,United Kingdom,K02000001,11/02/2022,132,159867
overview,United Kingdom,K02000001,10/02/2022,159,159735
overview,United Kingdom,K02000001,09/02/2022,152,159576
overview,United Kingdom,K02000001,08/02/2022,162,159424
overview,United Kingdom,K02000001,07/02/2022,163,159262
overview,United Kingdom,K02000001,06/02/2022,180,159099
overview,United Kingdom,K02000001,05/02/2022,197,158919
overview,United Kingdom,K02000001,04/02/2022,178,158722
overview,United Kingdom,K02000001,03/02/2022,216,158544
overview,United Kingdom,K02000001,02/02/2022,224,158328
overview,United Kingdom,K02000001,01/02/2022,253,158104
overview,United Kingdom,K02000001,31/01/2022,240,157851
overview,United Kingdom,K02000001,30/01/2022,239,157611
overview,United Kingdom,K02000001,29/01/2022,258,157372
overview,United Kingdom,K02000001,28/01/2022,254,157114
overview,United Kingdom,K02000001,27/01/2022,298,156860
overview,United Kingdom,K02000001,26/01/2022,260,156562
overview,United Kingdom,K02000001,25/01/2022,242,156302
overview,United Kingdom,K02000001,24/01/2022,281,156060
overview,United Kingdom,K02000001,23/01/2022,252,155779
overview,United Kingdom,K02000001,22/01/2022,279,155527
overview,United Kingdom,K02000001,21/01/2022,306,155248
overview,United Kingdom,K02000001,20/01/2022,253,154942
overview,United Kingdom,K02000001,19/01/2022,279,154689
overview,United Kingdom,K02000001,18/01/2022,282,154410
overview,United Kingdom,K02000001,17/01/2022,293,154128
overview,United Kingdom,K02000001,16/01/2022,291,153835
overview,United Kingdom,K02000001,15/01/2022,292,153544
overview,United Kingdom,K02000001,14/01/2022,272,153252
overview,United Kingdom,K02000001,13/01/2022,284,152980
overview,United Kingdom,K02000001,12/01/2022,254,152696
