areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,24/02/2022,16231,18804765
overview,United Kingdom,K02000001,23/02/2022,33616,18788534
overview,United Kingdom,K02000001,22/02/2022,37755,18754918
overview,United Kingdom,K02000001,21/02/2022,44018,18717163
overview,United Kingdom,K02000001,20/02/2022,36887,18673145
overview,United Kingdom,K02000001,19/02/2022,33934,18636258
overview,United Kingdom,K02000001,18/02/2022,32434,18602324
overview,United Kingdom,K02000001,17/02/2022,43642,18569890
overview,United Kingdom,K02000001,16/02/2022,50416,18526248
overview,United Kingdom,K02000001,15/02/2022,51308,18475832
overview,United Kingdom,K02000001,14/02/2022,53658,18424524
overview,United Kingdom,K02000001,13/02/2022,41057,18370866
overview,United Kingdom,K02000001,12/02/2022,36834,18329809
overview,United Kingdom,K02000001,11/02/2022,43778,18292975
overview,United Kingdom,K02000001,10/02/2022,51262,18249197
overview,United Kingdom,K02000001,09/02/2022,63001,18197935
overview,United Kingdom,K02000001,08/02/2022,68211,18134934
overview,United Kingdom,K02000001,07/02/2022,75189,18066723
overview,United Kingdom,K02000001,06/02/2022,59731,17991534
overview,United Kingdom,K02000001,05/02/2022,51583,17931803
overview,United Kingdom,K02000001,04/02/2022,62508,17880220
overview,United Kingdom,K02000001,03/02/2022,75776,17817712
overview,United Kingdom,K02000001,02/02/2022,87416,17741936
overview,United Kingdom,K02000001,01/02/2022,92646,17654520
overview,United Kingdom,K02000001,31/01/2022,103891,17561874
overview,United Kingdom,K02000001,30/01/2022,86772,17457983
overview,United Kingdom,K02000001,29/01/2022,72863,17371211
overview,United Kingdom,K02000001,28/01/2022,83372,17298348
overview,United Kingdom,K02000001,27/01/2022,95389,17214976
overview,United Kingdom,K02000001,26/01/2022,107803,17119587
overview,United Kingdom,K02000001,25/01/2022,112240,17011784
overview,United Kingdom,K02000001,24/01/2022,126292,16899544
overview,United Kingdom,K02000001,23/01/2022,101536,16773252
overview,United Kingdom,K02000001,22/01/2022,81076,16671716
overview,United Kingdom,K02000001,21/01/2022,90873,16590640
overview,United Kingdom,K02000001,20/01/2022,99573,16499767
overview,United Kingdom,K02000001,19/01/2022,110825,16400194
overview,United Kingdom,K02000001,18/01/2022,117802,16289369
overview,United Kingdom,K02000001,17/01/2022,130441,16171567
overview,United Kingdom,K02000001,16/01/2022,97286,16041126
overview,United Kingdom,K02000001,15/01/2022,77303,15943840
overview,United Kingdom,K02000001,14/01/2022,85582,15866537
overview,United Kingdom,K02000001,13/01/2022,95630,15780955
overview,United Kingdom,K02000001,12/01/2022,102396,15685325
overview,United Kingdom,K02000001,11/01/2022,114357,15582929
overview,United Kingdom,K02000001,10/01/2022,131720,15468572
overview,United Kingdom,K02000001,09/01/2022,94942,15336852
overview,United Kingdom,K02000001,08/01/2022,92806,15241910
overview,United Kingdom,K02000001,07/01/2022,119273,15149104
overview,United Kingdom,K02000001,06/01/2022,171503,15029831
overview,United Kingdom,K02000001,05/01/2022,219904,14858328
overview,United Kingdom,K02000001,04/01/2022,273539,14638424
overview,United Kingdom,K02000001,03/01/2022,227985,14364885
overview,United Kingdom,K02000001,02/01/2022,179548,14136900
overview,United Kingdom,K02000001,01/01/2022,117558,13957352
overview,United Kingdom,K02000001,31/12/2021,186844,13839794
overview,United Kingdom,K02000001,30/12/2021,234340,13652950
overview,United Kingdom,K02000001,29/12/2021,270437,13418610
overview,United Kingdom,K02000001,28/12/2021,210718,13148173
overview,United Kingdom,K02000001,27/12/2021,193353,12937455
overview,United Kingdom,K02000001,26/12/2021,115691,12744102
overview,United Kingdom,K02000001,25/12/2021,69996,12628411
overview,United Kingdom,K02000001,24/12/2021,136432,12558415
overview,United Kingdom,K02000001,23/12/2021,159311,12421983
overview,United Kingdom,K02000001,22/12/2021,160292,12262672
overview,United Kingdom,K02000001,21/12/2021,149405,12102380
overview,United Kingdom,K02000001,20/12/2021,133272,11952975
overview,United Kingdom,K02000001,19/12/2021,88734,11819703
overview,United Kingdom,K02000001,18/12/2021,88517,11730969
overview,United Kingdom,K02000001,17/12/2021,95484,11642452
overview,United Kingdom,K02000001,16/12/2021,105566,11546968
overview,United Kingdom,K02000001,15/12/2021,112209,11441402
overview,United Kingdom,K02000001,14/12/2021,102387,11329193
overview,United Kingdom,K02000001,13/12/2021,86884,11226806
overview,United Kingdom,K02000001,12/12/2021,52996,11139922
overview,United Kingdom,K02000001,11/12/2021,48464,11086926
overview,United Kingdom,K02000001,10/12/2021,52342,11038462
overview,United Kingdom,K02000001,09/12/2021,56869,10986120
overview,United Kingdom,K02000001,08/12/2021,58668,10929251
overview,United Kingdom,K02000001,07/12/2021,56081,10870583
overview,United Kingdom,K02000001,06/12/2021,59550,10814502
overview,United Kingdom,K02000001,05/12/2021,40931,10754952
overview,United Kingdom,K02000001,04/12/2021,38720,10714021
overview,United Kingdom,K02000001,03/12/2021,45593,10675301
overview,United Kingdom,K02000001,02/12/2021,50235,10629708
overview,United Kingdom,K02000001,01/12/2021,54749,10579473
overview,United Kingdom,K02000001,30/11/2021,55618,10524724
overview,United Kingdom,K02000001,29/11/2021,56234,10469106
overview,United Kingdom,K02000001,28/11/2021,39669,10412872
overview,United Kingdom,K02000001,27/11/2021,33270,10373203
overview,United Kingdom,K02000001,26/11/2021,39297,10339933
overview,United Kingdom,K02000001,25/11/2021,43379,10300636
overview,United Kingdom,K02000001,24/11/2021,46723,10257257
overview,United Kingdom,K02000001,23/11/2021,48148,10210534
